A,B,C,D,E,F
45,14,8,24,15,0
24,10,26,29,0,0
35,3,5,27,6,0
67,18,6,27,6,1
19,11,14,2,81,0
53,17,9,2,81,1
50,12,10,22,21,0
54,18,17,10,57,1
98,0,0,4,75,0
47,13,33,7,66,1
80,0,2,5,72,0
38,13,7,15,42,0
47,3,5,9,60,0
20,13,46,0,87,1
36,4,8,15,42,0
60,3,36,1,84,1
50,5,32,21,24,0
40,15,24,17,36,1
43,8,28,8,63,0
15,11,40,9,60,0
83,4,33,16,39,1
78,14,41,6,69,1
11,16,18,3,78,0
18,11,13,15,42,0
23,3,22,11,54,0
13,11,26,3,78,0
97,10,33,23,18,1
82,0,41,15,42,1
35,11,40,18,33,1
53,0,13,11,54,0
15,2,35,22,21,0
3,12,38,5,72,0
97,5,36,26,9,1
38,11,36,12,51,1
84,2,22,12,51,1
91,13,35,21,24,1
82,7,25,28,3,1
13,1,36,10,57,0
80,8,21,2,81,1
7,15,6,17,36,0
90,2,18,13,48,1
98,16,6,27,6,1
38,1,45,20,27,0
40,5,27,4,75,0
82,14,23,17,36,1
19,4,4,1,84,0
47,3,1,26,9,0
58,16,17,20,27,1
29,4,30,24,15,0
8,7,46,29,0,0
76,9,35,11,54,1
85,15,4,8,63,1
55,15,13,8,63,1
0,13,45,4,75,0
98,0,1,27,6,0
96,10,20,29,0,1
11,18,28,29,0,0
59,3,32,9,60,1
76,15,43,10,57,1
3,19,1,29,0,0
50,3,2,24,15,0
77,8,34,19,30,1
74,12,17,2,81,1
34,18,46,2,81,1
92,11,8,28,3,1
10,9,32,29,0,0
90,14,14,18,33,1
6,11,21,15,42,0
84,2,29,5,72,1
8,1,15,24,15,0
53,11,34,12,51,1
98,7,0,6,69,1
56,1,38,14,45,1
2,18,21,4,75,0
53,9,49,17,36,1
42,10,11,20,27,0
11,17,10,14,45,0
7,18,13,21,24,0
16,16,11,13,48,0
90,8,29,7,66,1
2,7,26,18,33,0
47,19,36,27,6,1
41,8,37,6,69,1
50,12,25,13,48,1
69,15,29,3,78,1
70,16,42,28,3,1
10,14,9,24,15,0
15,19,7,16,39,0
18,12,37,2,81,0
90,8,36,4,75,1
98,1,25,2,81,1
14,17,17,4,75,0
59,0,47,13,48,1
33,16,42,17,36,1
15,10,42,9,60,0
60,15,48,8,63,1
59,3,7,2,81,0
6,12,37,28,3,0
56,12,2,2,81,0
91,4,35,17,36,1
92,19,6,18,33,1
81,4,25,19,30,1
29,9,35,1,84,0
32,4,35,28,3,0
44,5,1,20,27,0
60,4,49,7,66,1
39,3,17,19,30,0
7,10,0,29,0,0
86,5,19,3,78,1
33,12,44,7,66,1
63,17,23,10,57,1
12,11,41,25,12,0
90,12,4,18,33,1
31,0,16,26,9,0
70,16,33,7,66,1
88,9,32,14,45,1
13,5,11,17,36,0
23,9,29,23,18,0
80,15,20,16,39,1
16,1,41,27,6,0
7,13,49,13,48,1
81,12,0,10,57,1
25,10,46,12,51,1
95,4,9,11,54,1
50,4,13,29,0,0
37,17,24,6,69,1
69,6,34,29,0,1
43,2,40,8,63,0
89,17,48,8,63,1
78,2,17,11,54,0
93,0,24,19,30,1
38,17,20,16,39,1
91,4,42,25,12,1
90,10,16,5,72,1
95,4,20,22,21,1
11,9,2,7,66,0
12,16,49,10,57,1
61,12,16,4,75,1
55,0,29,23,18,0
57,14,27,20,27,1
6,2,36,26,9,0
3,0,45,26,9,0
39,1,5,24,15,0
0,8,21,6,69,0
49,17,31,11,54,1
79,7,17,4,75,1
79,15,30,19,30,1
12,13,47,26,9,1
75,13,31,16,39,1
10,7,19,14,45,0
19,13,23,5,72,0
90,4,42,1,84,1
48,0,12,4,75,0
56,19,0,0,87,0
63,5,38,2,81,1
57,12,37,26,9,1
10,13,12,27,6,0
61,12,46,2,81,1
14,7,37,23,18,0
78,17,14,13,48,1
88,3,48,10,57,1
49,0,5,8,63,0
27,4,41,11,54,0
19,7,26,22,21,0
40,10,3,7,66,0
84,1,20,28,3,1
2,16,7,17,36,0
25,6,26,2,81,0
93,6,30,20,27,1
20,12,13,26,9,0
76,14,18,8,63,1
57,9,44,21,24,1
13,0,4,17,36,0
76,0,21,16,39,0
14,15,6,16,39,0
48,9,13,1,84,0
41,12,8,9,60,0
79,5,4,23,18,0
32,18,16,8,63,0
76,18,27,16,39,1
6,1,20,20,27,0
56,2,3,10,57,0
90,13,20,17,36,1
82,12,33,8,63,1
96,15,8,11,54,1
59,12,15,7,66,1
88,17,31,19,30,1
59,10,9,3,78,0
75,16,3,21,24,1
50,18,43,25,12,1
16,14,20,20,27,0
10,4,23,10,57,0
68,9,44,8,63,1
94,18,3,10,57,1
2,0,4,2,81,0
18,2,43,15,42,0
37,1,20,16,39,0
71,0,47,8,63,1
26,8,0,22,21,0
39,3,20,8,63,0
29,16,8,17,36,0
2,17,14,11,54,0
71,13,25,23,18,1
9,8,40,21,24,0
